epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
,0.0001,0.0001,4,,,,,,,,,
0,,,4,,0.34495794773101807,,72.45719146728516,,83.33584594726562,,,
,0.0001,0.0001,9,,,,,,,,,
0,,,9,,0.2175375521183014,,57.74993896484375,,64.19950866699219,,,
,0.0001,0.0001,14,,,,,,,,,
0,,,14,,0.14248517155647278,,43.67900085449219,,51.5075569152832,,,
,0.0001,0.0001,19,,,,,,,,,
0,,,19,,0.15712040662765503,,41.99462127685547,,54.41695022583008,,,
,0.0001,0.0001,24,,,,,,,,,
0,,,24,,0.06932850182056427,,28.93228530883789,,35.928749084472656,,,
,0.0001,0.0001,29,,,,,,,,,
0,,,29,,0.026076972484588623,,17.069639205932617,,22.03508186340332,,,
,0.0001,0.0001,34,,,,,,,,,
0,,,34,,0.06583588570356369,,30.142194747924805,,35.01204299926758,,,
,0.0001,0.0001,39,,,,,,,,,
0,,,39,,0.10202469676733017,,30.585285186767578,,44.40764236450195,,,
,0.0001,0.0001,44,,,,,,,,,
0,,,44,,0.06263720989227295,,26.9901123046875,,34.150909423828125,,,
,0.0001,0.0001,49,,,,,,,,,
0,,,49,,0.06449441611766815,,27.053285598754883,,34.65350341796875,,,
,0.0001,0.0001,54,,,,,,,,,
0,,,54,,0.1225937157869339,,40.936866760253906,,47.77714538574219,,,
,0.0001,0.0001,59,,,,,,,,,
0,,,59,,0.035342514514923096,,21.817941665649414,,25.652803421020508,,,
,0.0001,0.0001,64,,,,,,,,,
0,,,64,,0.04884466901421547,,25.080141067504883,,30.157459259033203,,,
,0.0001,0.0001,69,,,,,,,,,
0,,,69,,0.04781217500567436,,22.691669464111328,,29.837013244628906,,,
,0.0001,0.0001,74,,,,,,,,,
0,,,74,,0.03285893052816391,,21.271800994873047,,24.735048294067383,,,
,0.0001,0.0001,79,,,,,,,,,
0,,,79,,0.08920662105083466,,32.29877853393555,,40.755348205566406,,,
,0.0001,0.0001,84,,,,,,,,,
0,,,84,,0.07870855927467346,,29.284870147705078,,38.2822151184082,,,
,0.0001,0.0001,89,,,,,,,,,
0,,,89,,0.0744544267654419,,30.534162521362305,,37.23328399658203,,,
,0.0001,0.0001,94,,,,,,,,,
0,,,94,,0.05611052364110947,,23.716312408447266,,32.3227424621582,,,
,0.0001,0.0001,99,,,,,,,,,
0,,,99,,0.027036957442760468,,18.445919036865234,,22.437015533447266,,,
,0.0001,0.0001,104,,,,,,,,,
0,,,104,,0.059157904237508774,,27.398719787597656,,33.188873291015625,,,
,0.0001,0.0001,109,,,,,,,,,
0,,,109,,0.02243201807141304,,16.56206512451172,,20.437149047851562,,,
,0.0001,0.0001,114,,,,,,,,,
0,,,114,,0.06230594590306282,,27.024410247802734,,34.060482025146484,,,
,0.0001,0.0001,119,,,,,,,,,
0,,,119,,0.047220539301633835,,20.920631408691406,,29.651838302612305,,,
,0.0001,0.0001,124,,,,,,,,,
0,,,124,,0.023803694173693657,,16.543933868408203,,21.052722930908203,,,
,0.0001,0.0001,129,,,,,,,,,
0,,,129,,0.04028286784887314,,18.639680862426758,,27.387115478515625,,,
